type,value
variable 1,-1.77631469016691
variable 1,1.64657632287532
variable 1,0.488817419851397
variable 1,-0.124094377926691
variable 1,-0.0235808204897442
variable 1,0.0633392229143902
variable 1,-1.12003877806003
variable 1,-0.588100796118183
variable 1,-0.910824156455993
variable 1,0.962126919708827
variable 1,-1.01869346346051
variable 1,-1.35875640761682
variable 1,1.24427385193651
variable 1,0.239585475810887
variable 1,-0.568272231735263
variable 1,-0.0103423314045569
variable 1,0.953989539491403
variable 1,-1.60633418356557
variable 1,1.26566678276414
variable 1,-1.79205408275276
variable 1,0.718862570787166
variable 1,0.114161283633124
variable 1,0.766087332515152
variable 1,0.4779682399818
variable 1,-0.307722929823103
variable 1,-0.603045323791256
variable 1,-0.23486140968107
variable 1,1.02798996488556
variable 1,1.16253110266955
variable 1,0.232048323842101
variable 1,0.402099878205056
variable 1,-0.495800637547683
variable 1,-1.61692856709375
variable 1,-1.32167688498653
variable 1,0.30307812291066
variable 1,1.53544912637131
variable 1,-1.19321384485454
variable 1,-0.137873941879154
variable 1,-1.45163314995325
variable 1,-0.297258222827512
variable 1,0.105896280654485
variable 1,1.91694220476315
variable 1,-0.198328764516995
variable 1,1.67752491649217
variable 1,1.54854238966108
variable 1,-1.40403900215512
variable 1,-0.151513125904659
variable 1,1.91027696636761
variable 1,-0.365013103801853
variable 1,-0.435740938063273
variable 2,1.92715703780071
variable 2,3.01175005106708
variable 2,2.29286470737091
variable 2,4.16520266886014
variable 2,3.77175941579828
variable 2,4.56319387998927
variable 2,4.44265981147223
variable 2,3.85872271791127
variable 2,2.92021671051106
variable 2,3.66899028801479
variable 2,4.05029835156948
variable 2,2.77504697141501
variable 2,2.91900477750825
variable 2,5.41824782623836
variable 2,2.96720990465816
variable 2,5.52539120872203
variable 2,2.82879641058106
variable 2,3.94364775876168
variable 2,3.30672778292722
variable 2,6.19769792272544
variable 2,5.11232219557474
variable 2,2.19884961773764
variable 2,4.63162616941453
variable 2,5.0611413779667
variable 2,4.98652198716552
variable 2,5.00122090079423
variable 2,3.36454880002254
variable 2,4.53607212488818
variable 2,4.58655741660547
variable 2,5.12514456799041
variable 2,4.52282041586771
variable 2,3.95900361866147
variable 2,5.29854589869785
variable 2,3.18425198999098
variable 2,6.11050670087703
variable 2,4.43350484691411
variable 2,4.68849900822886
variable 2,2.06661446503321
variable 2,3.0915663392481
variable 2,4.52206802579118
variable 2,4.28195580825486
variable 2,2.54146215741104
variable 2,5.61912663725297
variable 2,4.40661085588452
variable 2,2.86889229921107
variable 2,3.61231474078335
variable 2,4.03496681416056
variable 2,3.81443447869046
variable 2,2.80633261679899
variable 2,5.03488220803178
